종목명,우대법령,조문내역,활용내용,해당1,해당2,해당3,해당4,해당5,해당6,해당7,해당8,우선순위1,우선순위2,우선순위3,우선순위4,우대분류,중처법대상
공조냉동기계기능사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
공조냉동기계기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
공조냉동기계기술사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
공조냉동기계산업기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
광산보안기능사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
광산보안기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
광산보안산업기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
광학기기산업기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
광학기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
광해방지기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
광해방지기술사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
교통기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
교통기술사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
교통산업기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
국제의료관광코디네이터,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
굴착기운전기능사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
궤도장비정비기능사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
궤도장비정비기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
궤도장비정비산업기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
귀금속가공기능사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
귀금속가공기능장,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
귀금속가공산업기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
그린전동자동차기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
금속가공기술사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
금속도장기능사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
금속재료기능장,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
